Example_Number,SMILES,Chemical_Name,TR-FRET assay protocol,Ki_BDI_uM,Ki_BDII_uM,Cellular proliferation: EC50 (μM)
121,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)CCC(=O)NC4CCOCC4)C(N(C=C3)C)=O)CS(=O)(=O)C,"3-(4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulen-3-yl)-N-(tetrahydro-2H-pyran-4-yl)propanamide",G,0.00665,0.000799,>1
122,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)CCC(=O)NN(C4=CC=CC=C4)C)C(N(C=C3)C)=O)CS(=O)(=O)C,"3-(4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulen-3-yl)-N’-methyl-N’-phenylpropanehydrazide",G,0.0108,0.000922,>1
123,C(C1=CC=CC=C1)NC(CCC1CNC2=C3C1N(C=C3C=C(C3=C2C(N(C=C3)C)=O)CS(=O)(=O)C)C3=C(C=C(C=C3)F)F)=O,"N-benzyl-3-(4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulen-3-yl)propanamide",G,0.00995,0.000983,>1
124,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)CCC(=O)NC4CS(CC4)(=O)=O)C(N(C=C3)C)=O)CS(=O)(=O)C,"3-(4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulen-3-yl)-N-(1,1-dioxidotetrahydrothiophen-3-yl)propanamide",G,0.00884,0.00278,0.944
125,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)CCC(=O)N4CCN(CC4)C(=O)OC(C)(C)C)C(N(C=C3)C)=O)CS(=O)(=O)C,"tert-butyl 4-(3-(4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulen-3-yl)propanoyl)piperazine-1-carboxylate",G,0.00926,0.00236,0.342
126,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)CCC(=O)NC4CCN(CC4)C(=O)OC(C)(C)C)C(N(C=C3)C)=O)CS(=O)(=O)C,"tert-butyl 4-(3-(4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulen-3-yl)propanamido)piperidine-1-carboxylate",G,0.0536,0.08,ND
127,ClC1=CC=C(C=C1)N1C=C2C=CC3=C(C4=C2C1CC(N4)C(=O)NCC)C(N(C=C3)C)=O,"4-(4-chlorophenyl)-N-ethyl-10-methyl-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulene-2-carboxamide",G,0.00268,0.00135,0.0417
128,C(C)(=O)OCCCCCCC1CNC2=C3C1N(C=C3C=C(C3=C2C(N(C=C3)C)=O)CS(=O)(=O)C)C3=C(C=C(C=C3)F)F,"6-(4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulen-3-yl)hexyl acetate",G,0.0291,0.002,0.0729
129,NCC1CNC2=C3C1N(C=C3C=C(C3=C2C(N(C=C3)C)=O)CS(=O)(=O)C)C3=C(C=C(C=C3)F)F,"3-(aminomethyl)-4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.0162,0.0025,0.25
130,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)CNC(=[N+](C)C)N(C)C)C(N(C=C3)C)=O)CS(=O)(=O)C,"N-((((4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulen-3-yl)methyl)amino)(dimethylamino)methylene)-N-methylmethanaminium",G,0.215,0.0146,ND
